7201 JP,,JPY,,NKY,,Industry,,Production,,Anti-Japanese
7/16/2010,628,7/16/2010,-0.95,7/16/2010,-2.86,7/16/2010,-1.858976471,,,
7/20/2010,613,7/19/2010,0.14,7/20/2010,-1.15,7/20/2010,-0.366452941,,,
7/21/2010,607,7/20/2010,0.95,7/21/2010,-0.23,7/21/2010,-0.577035294,,,
7/22/2010,607,7/21/2010,-0.53,7/22/2010,-0.62,7/22/2010,1.303,,,
7/23/2010,625,7/22/2010,-0.11,7/23/2010,2.28,7/23/2010,0.665470588,,,
7/26/2010,629,7/23/2010,0.59,7/26/2010,0.77,7/26/2010,-0.194117647,,,
7/27/2010,634,7/26/2010,-0.66,7/27/2010,-0.07,7/27/2010,1.548411765,,,
7/28/2010,657,7/27/2010,1.17,7/28/2010,2.7,7/28/2010,-0.050764706,,,
7/29/2010,669,7/28/2010,-0.49,7/29/2010,-0.59,7/29/2010,-0.381970588,,,
7/30/2010,664,7/29/2010,-0.78,7/30/2010,-1.64,7/30/2010,0.3529,,,
8/2/2010,663,7/30/2010,-0.37,8/2/2010,0.35,8/2/2010,1.728935294,,,
8/3/2010,677,8/2/2010,0.03,8/3/2010,1.29,8/3/2010,-0.698941176,,,
8/4/2010,648,8/3/2010,-0.82,8/4/2010,-2.11,8/4/2010,0.268305882,,,
8/5/2010,666,8/4/2010,0.56,8/5/2010,1.73,8/5/2010,0.888670588,,,
8/6/2010,669,8/5/2010,-0.52,8/6/2010,-0.12,8/6/2010,-0.880617647,,,
8/9/2010,665,8/6/2010,-0.36,8/9/2010,-0.72,8/9/2010,0.444735294,,,
8/10/2010,662,8/9/2010,0.5,8/10/2010,-0.22,8/10/2010,-1.955023529,,,
8/11/2010,638,8/10/2010,-0.58,8/11/2010,-2.7,8/11/2010,-0.849405882,,,
8/12/2010,639,8/11/2010,-0.14,8/12/2010,-0.86,8/12/2010,0.228664706,,,
8/13/2010,646,8/12/2010,0.68,8/13/2010,0.44,8/13/2010,-0.061947059,,,
8/16/2010,641,8/13/2010,0.35,8/16/2010,-0.61,8/16/2010,0.108170588,,,
8/17/2010,637,8/16/2010,-1.01,8/17/2010,-0.38,8/17/2010,1.104423529,,,
8/18/2010,655,8/17/2010,0.23,8/18/2010,0.86,8/18/2010,1.534394118,,,
8/19/2010,675,8/18/2010,-0.08,8/19/2010,1.32,8/19/2010,-0.696652941,,,
8/20/2010,659,8/19/2010,-0.08,8/20/2010,-1.96,8/20/2010,-1.141288235,,,
8/23/2010,655,8/20/2010,0.27,8/23/2010,-0.68,8/23/2010,-1.179829412,,,
8/24/2010,637,8/23/2010,-0.54,8/24/2010,-1.33,8/24/2010,-1.194923529,,,
8/25/2010,627,8/24/2010,-1.48,8/25/2010,-1.66,8/25/2010,-0.102064706,,,
8/26/2010,631,8/25/2010,0.81,8/26/2010,0.69,8/26/2010,1.351029412,,,
8/27/2010,651,8/26/2010,-0.15,8/27/2010,0.95,8/27/2010,0.861364706,,,
8/30/2010,654,8/27/2010,0.92,8/30/2010,1.76,8/30/2010,-0.859864706,,,
8/31/2010,642,8/30/2010,-0.72,8/31/2010,-3.55,8/31/2010,0.420317647,,,
9/1/2010,645,8/31/2010,-0.5,9/1/2010,1.17,9/1/2010,2.150429412,,,
9/2/2010,664,9/1/2010,0.29,9/2/2010,1.52,9/2/2010,0.722294118,,,
9/3/2010,667,9/2/2010,-0.19,9/3/2010,0.57,9/3/2010,1.693694118,,,
9/6/2010,681,9/3/2010,0.04,9/6/2010,2.05,9/6/2010,0.365105882,,,
9/7/2010,669,9/6/2010,-0.12,9/7/2010,-0.81,9/7/2010,-1.409264706,,,
9/8/2010,654,9/7/2010,-0.45,9/8/2010,-2.18,9/8/2010,0.984064706,,,
9/9/2010,659,9/8/2010,0.06,9/9/2010,0.82,9/9/2010,0.456576471,,,
9/10/2010,666,9/9/2010,-0.12,9/10/2010,1.55,9/10/2010,0.630929412,,,
9/13/2010,679,9/10/2010,0.44,9/13/2010,0.89,9/13/2010,1.047411765,,,
9/14/2010,677,9/13/2010,-0.52,9/14/2010,-0.24,9/14/2010,1.289717647,,,
9/15/2010,702,9/14/2010,-0.8,9/15/2010,2.34,9/15/2010,1.280741176,,,
9/16/2010,714,9/15/2010,3.26,9/16/2010,-0.07,9/16/2010,0.034341176,,,
9/17/2010,718,9/16/2010,0.03,9/17/2010,1.23,9/17/2010,0.309394118,,,
9/21/2010,713,9/17/2010,0.09,9/21/2010,-0.25,9/21/2010,0.315970588,,,
9/22/2010,702,9/20/2010,-0.2,9/22/2010,-0.37,9/22/2010,0.860682353,,,
9/24/2010,698,9/21/2010,-0.7,9/24/2010,-0.99,9/24/2010,-0.465123529,,,
9/27/2010,715,9/22/2010,-0.69,9/27/2010,1.39,9/27/2010,1.171311765,,,
9/28/2010,725,9/23/2010,-0.14,9/28/2010,-1.12,9/28/2010,-0.441317647,,,
9/29/2010,744,9/24/2010,-0.2,9/29/2010,0.67,9/29/2010,1.041388235,,,
9/30/2010,729,9/27/2010,0.1,9/30/2010,-1.99,9/30/2010,0.9454,,,
10/1/2010,744,9/28/2010,-0.5,10/1/2010,0.37,10/4/2010,0.745794118,,,
10/4/2010,749,9/29/2010,-0.2,10/4/2010,-0.25,10/5/2010,-0.091470588,,,
10/5/2010,749,9/30/2010,-0.2,10/5/2010,1.47,10/6/2010,-0.679205882,,,
10/6/2010,731,10/1/2010,-0.37,10/6/2010,1.81,10/7/2010,0.091247059,,,
10/7/2010,741,10/4/2010,0.17,10/7/2010,-0.07,10/8/2010,-0.501317647,,,
10/8/2010,740,10/5/2010,-0.17,10/8/2010,-0.99,10/12/2010,1.117264706,,,
10/12/2010,727,10/6/2010,-0.35,10/12/2010,-2.09,10/13/2010,0.222258824,,,
10/13/2010,741,10/7/2010,-0.63,10/13/2010,0.16,10/14/2010,0.898911765,,,
10/14/2010,753,10/8/2010,-0.58,10/14/2010,1.91,10/15/2010,-0.180441176,,,
10/15/2010,754,10/11/2010,0.17,10/15/2010,-0.87,10/18/2010,-1.1715,,,
10/18/2010,748,10/12/2010,-0.43,10/18/2010,-0.02,10/19/2010,0.168988235,,,
10/19/2010,746,10/13/2010,0.11,10/19/2010,0.43,10/20/2010,-0.075217647,,,
10/20/2010,741,10/14/2010,-0.4,10/20/2010,-1.65,10/21/2010,0.235941176,,,
10/21/2010,730,10/15/2010,-0.04,10/21/2010,-0.05,10/22/2010,0.770511765,,,
10/22/2010,732,10/18/2010,-0.22,10/22/2010,0.54,10/25/2010,1.482094118,,,
10/25/2010,733,10/19/2010,0.39,10/25/2010,-0.27,10/26/2010,0.090364706,,,
10/26/2010,726,10/20/2010,-0.61,10/26/2010,-0.25,10/27/2010,-0.231676471,,,
10/27/2010,730,10/21/2010,0.3,10/27/2010,0.1,10/28/2010,-1.152676471,,,
10/28/2010,732,10/22/2010,0.06,10/28/2010,-0.22,10/29/2010,0.649129412,,,
10/29/2010,710,10/25/2010,-0.7,10/29/2010,-1.75,11/1/2010,0.509235294,,,
11/1/2010,694,10/26/2010,0.77,11/1/2010,-0.52,11/2/2010,1.4115,,,
11/2/2010,694,10/27/2010,0.39,11/2/2010,0.06,11/4/2010,0.514123529,,,
11/4/2010,721,10/28/2010,-0.88,11/4/2010,2.17,11/5/2010,1.768917647,,,
11/5/2010,764,10/29/2010,-0.78,11/5/2010,2.86,11/8/2010,1.127147059,,,
11/8/2010,779,11/1/2010,0.14,11/8/2010,1.11,11/9/2010,-0.476782353,,,
11/9/2010,775,11/2/2010,0.15,11/9/2010,-0.39,11/10/2010,0.214023529,,,
11/10/2010,790,11/3/2010,0.55,11/10/2010,1.4,11/11/2010,0.859323529,,,
11/11/2010,791,11/4/2010,-0.39,11/11/2010,0.31,11/12/2010,-0.420205882,,,
11/12/2010,773,11/5/2010,0.63,11/12/2010,-1.39,11/15/2010,0.297382353,,,
11/15/2010,785,11/8/2010,-0.1,11/15/2010,1.06,11/16/2010,0.142782353,,,
11/16/2010,783,11/9/2010,0.63,11/16/2010,-0.31,11/17/2010,0.239923529,,,
11/17/2010,794,11/10/2010,0.72,11/17/2010,0.15,11/18/2010,0.422852941,,,
